rank,source,target,similarity,distance
1,8BLR_A_native,8CPR_A_native,1.0,0.0
2,8T74_A_native,8T75_A_native,1.0,0.0
3,8JHL_A_native,8JGD_A_native,0.987967076084803,0.012032923915196947
4,8T71_A_native,8T74_A_native,0.9863351330068143,0.013664866993185698
5,8T71_A_native,8T75_A_native,0.9863351330068143,0.013664866993185698
6,8T74_A_native,8JHL_A_native,0.9776800202834527,0.02231997971654731
7,8T75_A_native,8JHL_A_native,0.9776800202834527,0.02231997971654731
8,8T71_A_native,8JHL_A_native,0.9748843797109504,0.025115620289049567
9,8T74_A_native,8JGD_A_native,0.9737149216099523,0.026285078390047678
10,8T75_A_native,8JGD_A_native,0.9737149216099523,0.026285078390047678
11,8T74_A_native,8T73_A_native,0.9736216999599685,0.0263783000400315
12,8T75_A_native,8T73_A_native,0.9736216999599685,0.0263783000400315
13,8T71_A_native,8JGD_A_native,0.9709292838971866,0.02907071610281342
14,8T71_A_native,8T73_A_native,0.970833977424958,0.029166022575041972
15,8JHL_A_native,8BLR_A_native,0.9694916389073963,0.030508361092603686
16,8JHL_A_native,8CPR_A_native,0.9694916389073963,0.030508361092603686
17,8JHL_A_native,8T73_A_native,0.9689323705372858,0.03106762946271424
18,8T73_A_native,4LPK_B_native,0.9675817756846189,0.032418224315381106
19,8JGD_A_native,8BLR_A_native,0.9655274465060019,0.03447255349399814
20,8JGD_A_native,8CPR_A_native,0.9655274465060019,0.03447255349399814
21,8T73_A_native,8JGD_A_native,0.9649704649502734,0.03502953504972661
22,8T74_A_native,8BLR_A_native,0.9632764918523362,0.036723508147663786
23,8T74_A_native,8CPR_A_native,0.9632764918523362,0.036723508147663786
24,8T75_A_native,8BLR_A_native,0.9632764918523362,0.036723508147663786
25,8T75_A_native,8CPR_A_native,0.9632764918523362,0.036723508147663786
26,7VVB_A_native,4LPK_B_native,0.961115792322015,0.03888420767798495
27,7VVB_A_native,8T74_A_native,0.9609239177947919,0.039076082205208085
28,7VVB_A_native,8T75_A_native,0.9609239177947919,0.039076082205208085
29,8T71_A_native,8BLR_A_native,0.9605119775283574,0.039488022471642625
30,8T71_A_native,8CPR_A_native,0.9605119775283574,0.039488022471642625
31,7VVB_A_native,8T73_A_native,0.9589621008744229,0.04103789912557709
32,7VVB_A_native,8T71_A_native,0.9581637616629638,0.0418362383370362
33,7VVB_A_native,8JHL_A_native,0.9561808799752898,0.04381912002471022
34,8T73_A_native,8BLR_A_native,0.9544144693392059,0.04558553066079407
35,8T73_A_native,8CPR_A_native,0.9544144693392059,0.04558553066079407
36,8T74_A_native,4LPK_B_native,0.9533815074329319,0.04661849256706807
37,8T75_A_native,4LPK_B_native,0.9533815074329319,0.04661849256706807
38,7VVB_A_native,8BLR_A_native,0.9525751759581533,0.04742482404184667
39,7VVB_A_native,8CPR_A_native,0.9525751759581533,0.04742482404184667
40,7VVB_A_native,8JGD_A_native,0.9522355595026196,0.04776444049738038
41,8T71_A_native,4LPK_B_native,0.9494880115850665,0.05051198841493354
42,8JHL_A_native,4LPK_B_native,0.9474483619312204,0.052551638068779605
43,8JGD_A_native,4LPK_B_native,0.9435140283686763,0.05648597163132374
44,8BLR_A_native,4LPK_B_native,0.9327982201255314,0.06720177987446863
45,8CPR_A_native,4LPK_B_native,0.9327982201255314,0.06720177987446863
46,8JHL_A_sample_2,8JGD_A_sample_2,0.8268603795056804,0.17313962049431963
47,4LPK_B_sample_1,4LPK_B_sample_2,0.818240033345492,0.181759966654508
48,8T73_A_sample_1,8T73_A_sample_2,0.8085196756724107,0.19148032432758932
49,8T75_A_sample_1,8T75_A_sample_2,0.7803468177773406,0.2196531822226594
50,8JHL_A_sample_1,8JGD_A_sample_1,0.7754617218163536,0.22453827818364636
51,8BLR_A_sample_1,8CPR_A_sample_1,0.7576100652316864,0.2423899347683136
52,8CPR_A_sample_1,8CPR_A_sample_2,0.7525255682766636,0.24747443172333639
53,8T73_A_sample_2,4LPK_B_sample_2,0.7513864865403469,0.2486135134596531
54,7VVB_A_sample_1,7VVB_A_sample_2,0.7455431307901241,0.25445686920987587
55,8T74_A_sample_1,8T74_A_sample_2,0.7343749784508522,0.2656250215491478
56,8T73_A_sample_2,4LPK_B_sample_1,0.723037976182031,0.27696202381796897
57,8T73_A_sample_1,4LPK_B_sample_2,0.716692120572521,0.28330787942747904
58,8BLR_A_sample_1,8BLR_A_sample_2,0.7161045701541664,0.2838954298458336
59,8T71_A_sample_1,8T71_A_sample_2,0.7149771776379392,0.2850228223620608
60,8T73_A_sample_1,4LPK_B_sample_1,0.7145456883171198,0.28545431168288016
61,8JHL_A_sample_1,8JHL_A_sample_2,0.6730197739266357,0.3269802260733643
62,8JGD_A_sample_1,8JGD_A_sample_2,0.6578932584762588,0.3421067415237412
63,8BLR_A_sample_2,8CPR_A_sample_2,0.651077473041324,0.348922526958676
64,8JHL_A_sample_1,8JGD_A_sample_2,0.6450955261208804,0.3549044738791196
65,8BLR_A_sample_2,8CPR_A_sample_1,0.6431598969457505,0.3568401030542495
66,8BLR_A_sample_1,8CPR_A_sample_2,0.6296336740001811,0.3703663259998189
67,8JHL_A_sample_2,8JGD_A_sample_1,0.6285714285714286,0.37142857142857144
68,8T74_A_sample_2,8T75_A_sample_2,0.6164744278803663,0.3835255721196337
69,8JHL_A_sample_2,8T73_A_sample_1,0.6159338480279166,0.3840661519720834
70,8T71_A_sample_1,8T73_A_sample_1,0.6147093845289301,0.3852906154710699
71,8T74_A_sample_1,8T75_A_sample_1,0.6131908390802036,0.38680916091979645
72,8T74_A_sample_2,8T75_A_sample_1,0.6088623790470976,0.3911376209529024
73,8JHL_A_sample_2,8T73_A_sample_2,0.6011939567805616,0.39880604321943836
74,8T74_A_sample_1,8T75_A_sample_2,0.5864965960488009,0.4135034039511991
75,8T71_A_sample_2,8T73_A_sample_1,0.5854574112463151,0.4145425887536849
76,8T71_A_sample_2,8JHL_A_sample_1,0.5847259006113522,0.4152740993886478
77,8T71_A_sample_1,8T73_A_sample_2,0.5814528211928495,0.41854717880715053
78,8T71_A_sample_2,8T73_A_sample_2,0.5744556615991804,0.4255443384008196
79,8T74_A_sample_1,8T73_A_sample_1,0.5733809687135625,0.4266190312864375
80,8JHL_A_sample_2,4LPK_B_sample_2,0.5733177113063316,0.4266822886936684
81,7VVB_A_sample_1,8T74_A_sample_1,0.5718531348935464,0.4281468651064536
82,8T71_A_sample_2,8CPR_A_sample_1,0.5714301644695313,0.4285698355304687
83,8T75_A_sample_2,8JHL_A_sample_2,0.5690623974079648,0.4309376025920352
84,8T73_A_sample_1,8JGD_A_sample_2,0.5685390488416208,0.43146095115837924
85,8JHL_A_sample_2,4LPK_B_sample_1,0.5680207108113979,0.43197928918860207
86,8JGD_A_sample_1,4LPK_B_sample_2,0.5673331840484367,0.4326668159515633
87,7VVB_A_sample_1,8T74_A_sample_2,0.5666372082851233,0.4333627917148767
88,8T71_A_sample_2,8T75_A_sample_2,0.5660381294210061,0.43396187057899394
89,8JGD_A_sample_2,4LPK_B_sample_1,0.5657707658812022,0.43422923411879777
90,7VVB_A_sample_2,8T74_A_sample_2,0.5656221992816647,0.4343778007183353
91,8T71_A_sample_1,4LPK_B_sample_1,0.5651096204370856,0.43489037956291443
92,8JGD_A_sample_1,4LPK_B_sample_1,0.5632474275272686,0.43675257247273136
93,8JGD_A_sample_2,4LPK_B_sample_2,0.5626510107789338,0.43734898922106624
94,4LPK_B_native,4LPK_B_sample_2,0.5595145738615015,0.4404854261384985
95,8T75_A_sample_1,8JHL_A_sample_1,0.5591918482721365,0.4408081517278635
96,8JHL_A_sample_1,8T73_A_sample_2,0.5589224516406971,0.4410775483593029
97,8T71_A_sample_2,8JHL_A_sample_2,0.5583264582768785,0.44167354172312145
98,8T74_A_sample_1,8JHL_A_sample_2,0.5568115202969341,0.44318847970306585
99,8T75_A_sample_1,8T73_A_sample_1,0.5564133016627079,0.44358669833729214
100,8T71_A_sample_1,4LPK_B_sample_2,0.5561795256699605,0.44382047433003946
101,7VVB_A_sample_1,8T75_A_sample_1,0.5560831839821136,0.44391681601788635
102,8JHL_A_sample_1,4LPK_B_sample_2,0.5556949988676475,0.4443050011323525
103,8T71_A_sample_2,8T75_A_sample_1,0.5535233706328797,0.4464766293671203
104,8T73_A_native,4LPK_B_sample_2,0.5531278630102127,0.44687213698978734
105,8T73_A_native,8T73_A_sample_2,0.5521528651422867,0.4478471348577133
106,8T74_A_sample_1,8JGD_A_sample_2,0.5509124264788042,0.44908757352119577
107,8T75_A_sample_2,8JHL_A_sample_1,0.5492351271946482,0.4507648728053518
108,8T73_A_sample_2,4LPK_B_native,0.5479625862191988,0.4520374137808012
109,7VVB_A_sample_1,8T75_A_sample_2,0.547338811216912,0.45266118878308803
110,8T73_A_sample_2,8JGD_A_sample_2,0.5467967913230712,0.45320320867692876
111,8T73_A_sample_1,8JGD_A_sample_1,0.5457792205498334,0.4542207794501666
112,8T74_A_sample_1,4LPK_B_sample_1,0.5456195986529813,0.45438040134701874
113,8T75_A_sample_2,8JGD_A_sample_2,0.5453775161145781,0.4546224838854219
114,8JHL_A_sample_1,8T73_A_sample_1,0.544914609592848,0.455085390407152
115,8T74_A_sample_2,8JHL_A_sample_2,0.5446114487421688,0.4553885512578312
116,8T71_A_sample_2,8JGD_A_sample_2,0.544138771119044,0.45586122888095604
117,8T74_A_sample_1,4LPK_B_sample_2,0.5424738172537207,0.4575261827462793
118,8T73_A_sample_2,8JGD_A_sample_1,0.5420213232391677,0.45797867676083226
119,7VVB_A_sample_2,8T73_A_sample_1,0.5419401848679962,0.4580598151320038
120,7VVB_A_sample_2,8T74_A_sample_1,0.5410718119841296,0.45892818801587043
121,8T75_A_sample_1,4LPK_B_sample_2,0.5409561043520696,0.45904389564793036
122,8T74_A_sample_1,8JHL_A_sample_1,0.5404765734670953,0.4595234265329047
123,8T71_A_native,4LPK_B_sample_2,0.5402566578189384,0.4597433421810616
124,8T74_A_sample_2,8T73_A_sample_1,0.5398343767714092,0.4601656232285908
125,8T74_A_native,8T73_A_sample_2,0.5394586601255199,0.4605413398744801
126,8T75_A_native,8T73_A_sample_2,0.5394586601255199,0.4605413398744801
127,8T71_A_sample_1,8CPR_A_sample_1,0.5392571128557522,0.4607428871442478
128,8T71_A_sample_2,8T74_A_sample_1,0.5384675715341966,0.46153242846580345
129,7VVB_A_native,4LPK_B_sample_2,0.5384668019225096,0.4615331980774904
130,8JHL_A_native,8T73_A_sample_2,0.5380993292074143,0.4619006707925857
131,8JHL_A_sample_1,4LPK_B_sample_1,0.537314294646029,0.462685705353971
132,8T71_A_native,8T73_A_sample_2,0.5364968564729411,0.4635031435270589
133,8T74_A_native,4LPK_B_sample_2,0.536214474914339,0.46378552508566095
134,8T75_A_native,4LPK_B_sample_2,0.536214474914339,0.46378552508566095
135,8T73_A_sample_2,8JGD_A_native,0.5360148186876359,0.4639851813123641
136,8JHL_A_native,4LPK_B_sample_2,0.535988230411677,0.464011769588323
137,8JGD_A_native,4LPK_B_sample_2,0.5350675514088955,0.4649324485911045
138,8T71_A_sample_1,8T75_A_sample_2,0.5345263229256524,0.4654736770743476
139,7VVB_A_sample_2,4LPK_B_sample_1,0.5337321993483888,0.4662678006516112
140,8T75_A_sample_2,8JGD_A_sample_1,0.533495997569967,0.466504002430033
141,8T73_A_sample_2,8CPR_A_sample_1,0.5321557076464063,0.4678442923535937
142,8T73_A_native,8T73_A_sample_1,0.5313617130455587,0.4686382869544413
143,8T71_A_sample_2,8JGD_A_sample_1,0.5310910212877624,0.4689089787122376
144,8CPR_A_sample_1,4LPK_B_sample_1,0.5306441313477437,0.4693558686522563
145,8T74_A_sample_2,8JGD_A_sample_2,0.529185858691738,0.47081414130826205
146,8T75_A_sample_1,8JGD_A_sample_1,0.5285378290509825,0.47146217094901754
147,8T75_A_sample_2,8T73_A_sample_1,0.5275333950224662,0.4724666049775338
148,8JGD_A_sample_2,8CPR_A_sample_2,0.5272732854818831,0.4727267145181169
149,8T73_A_sample_1,4LPK_B_native,0.5270565028013833,0.4729434971986167
150,8JGD_A_sample_2,8CPR_A_sample_1,0.5269057885380766,0.47309421146192343
151,8T75_A_sample_1,8JHL_A_sample_2,0.5267542368269634,0.47324576317303657
152,8T71_A_sample_1,8JGD_A_sample_2,0.5267020943183696,0.47329790568163044
153,8T73_A_sample_1,8CPR_A_sample_1,0.5263790184318436,0.47362098156815635
154,8T71_A_sample_2,4LPK_B_sample_2,0.5262206810505223,0.47377931894947767
155,8JHL_A_sample_2,8CPR_A_sample_1,0.5258183387169748,0.4741816612830252
156,8T71_A_sample_1,8T75_A_sample_1,0.5243799520695263,0.47562004793047374
157,8T75_A_sample_2,8CPR_A_sample_2,0.5240116242798343,0.4759883757201657
158,7VVB_A_native,8T73_A_sample_2,0.5236578118574157,0.47634218814258433
159,8JHL_A_sample_2,8CPR_A_sample_2,0.5214285714285715,0.47857142857142854
160,7VVB_A_sample_1,8T73_A_sample_1,0.5204748691059911,0.47952513089400894
161,8T75_A_sample_2,4LPK_B_sample_2,0.5202858694743765,0.4797141305256235
162,8T74_A_sample_1,8JGD_A_sample_1,0.519928705918291,0.480071294081709
163,8T71_A_sample_2,8CPR_A_sample_2,0.5192495269446685,0.4807504730553315
164,8T74_A_native,8T73_A_sample_1,0.5187279026330011,0.48127209736699894
165,8T75_A_native,8T73_A_sample_1,0.5187279026330011,0.48127209736699894
166,7VVB_A_sample_1,4LPK_B_sample_2,0.5185318415360319,0.48146815846396807
167,8JHL_A_native,8T73_A_sample_1,0.5184630935488832,0.4815369064511168
168,8T75_A_sample_1,8T73_A_sample_2,0.5183273066993451,0.4816726933006549
169,8T75_A_sample_1,8JGD_A_sample_2,0.518268227680888,0.481731772319112
170,4LPK_B_native,4LPK_B_sample_1,0.5177405204029516,0.4822594795970484
171,8T71_A_sample_2,4LPK_B_sample_1,0.5175228209561196,0.48247717904388043
172,8T73_A_sample_2,8BLR_A_native,0.5163394613454221,0.4836605386545779
173,8T73_A_sample_2,8CPR_A_native,0.5163394613454221,0.4836605386545779
174,8T71_A_native,8T73_A_sample_1,0.515805048215953,0.48419495178404703
175,7VVB_A_sample_1,8T73_A_sample_2,0.515657095267309,0.48434290473269104
176,8T74_A_sample_2,4LPK_B_sample_2,0.515483420988592,0.484516579011408
177,8T73_A_sample_1,8JGD_A_native,0.5152411101285496,0.48475888987145044
178,8T71_A_sample_1,8T74_A_sample_2,0.5139947416456373,0.4860052583543627
179,8BLR_A_native,4LPK_B_sample_2,0.5139572910303432,0.48604270896965684
180,8CPR_A_native,4LPK_B_sample_2,0.5139572910303432,0.48604270896965684
181,8T71_A_sample_2,8T74_A_sample_2,0.5135149316712923,0.48648506832870775
182,8T75_A_sample_1,4LPK_B_sample_1,0.5131141264729275,0.48688587352707247
183,7VVB_A_sample_2,8T75_A_sample_2,0.5118681584978201,0.4881318415021799
184,8T73_A_native,4LPK_B_sample_1,0.5115351386740362,0.4884648613259638
185,8T71_A_sample_1,8JHL_A_sample_2,0.5114970325017781,0.48850296749822186
186,8JGD_A_sample_1,8BLR_A_sample_1,0.5089638427401844,0.49103615725981564
187,8CPR_A_sample_1,4LPK_B_sample_2,0.5071775993357706,0.49282240066422944
188,8CPR_A_sample_2,4LPK_B_sample_1,0.5071613489387482,0.4928386510612518
189,8T74_A_sample_2,8JHL_A_sample_1,0.5071095579766649,0.4928904420233351
190,8JHL_A_sample_1,8BLR_A_sample_1,0.5068761429696629,0.4931238570303371
191,8T74_A_sample_1,8T73_A_sample_2,0.5068078878176899,0.49319211218231007
192,8CPR_A_sample_2,4LPK_B_sample_2,0.5050941005663298,0.49490589943367025
193,7VVB_A_sample_2,8T75_A_sample_1,0.505057318279834,0.494942681720166
194,7VVB_A_native,8T73_A_sample_1,0.5026774260890201,0.4973225739109799
195,7VVB_A_sample_1,4LPK_B_sample_1,0.5014933399834273,0.49850666001657273
196,8JHL_A_sample_2,8BLR_A_sample_1,0.49940583630374896,0.500594163696251
197,8T73_A_sample_1,8CPR_A_sample_2,0.4994058227253378,0.5005941772746623
198,8T71_A_native,4LPK_B_sample_1,0.49899856215050675,0.5010014378494932
199,8T75_A_sample_2,8CPR_A_sample_1,0.49881831537822935,0.5011816846217707
200,8T75_A_sample_2,8T73_A_sample_2,0.49793831491052626,0.5020616850894737
201,8JGD_A_sample_1,8CPR_A_sample_2,0.4976190476190476,0.5023809523809524
202,8T71_A_sample_1,8JGD_A_sample_1,0.49740296960850294,0.5025970303914971
203,7VVB_A_native,4LPK_B_sample_1,0.4968255413009377,0.5031744586990623
204,7VVB_A_sample_2,8T73_A_sample_2,0.49675417047303483,0.5032458295269652
205,8T71_A_sample_1,8T74_A_sample_1,0.4965202571241799,0.5034797428758201
206,8T73_A_sample_1,8BLR_A_native,0.4953650654111775,0.5046349345888226
207,8T73_A_sample_1,8CPR_A_native,0.4953650654111775,0.5046349345888226
208,8T73_A_sample_2,8BLR_A_sample_1,0.49527176140686524,0.5047282385931348
209,8T75_A_sample_2,8BLR_A_sample_1,0.4949582872014398,0.5050417127985602
210,8T74_A_native,4LPK_B_sample_1,0.49487808587068194,0.5051219141293181
211,8T75_A_native,4LPK_B_sample_1,0.49487808587068194,0.5051219141293181
212,8JHL_A_native,4LPK_B_sample_1,0.4945386451949457,0.5054613548050543
213,8JGD_A_native,4LPK_B_sample_1,0.49368916507418775,0.5063108349258123
214,7VVB_A_sample_2,4LPK_B_sample_2,0.4934188352014457,0.5065811647985543
215,8JGD_A_sample_2,8BLR_A_sample_1,0.493087015222408,0.506912984777592
216,8T74_A_sample_2,8CPR_A_sample_2,0.49263118031558434,0.5073688196844157
217,8T71_A_sample_2,8BLR_A_sample_1,0.49259235172321014,0.5074076482767899
218,7VVB_A_sample_1,8JGD_A_sample_2,0.4916440292831125,0.5083559707168874
219,7VVB_A_sample_1,8JGD_A_sample_1,0.4907910352207591,0.5092089647792408
220,8T71_A_sample_1,8CPR_A_sample_2,0.4891814329207591,0.5108185670792409
221,8T71_A_sample_2,8BLR_A_sample_2,0.4881027353523175,0.5118972646476825
222,8T74_A_sample_2,8T73_A_sample_2,0.4879631763903903,0.5120368236096098
223,8T74_A_sample_2,8CPR_A_sample_1,0.4876379210420314,0.5123620789579686
224,7VVB_A_sample_1,8JHL_A_sample_2,0.48603761115082444,0.5139623888491756
225,8T75_A_sample_2,4LPK_B_sample_1,0.4842646514511838,0.5157353485488162
226,7VVB_A_native,7VVB_A_sample_1,0.4842067802499907,0.5157932197500092
