source,target,similarity
KRAS_HUMAN_P01116 Homo sapiens,KRAS_MOUSE_P32883 Mus musculus,0.9953871117871156
KRAS_HUMAN_P01116 Homo sapiens,KRAS_RAT_P08644 Rattus norvegicus,0.9953871117871156
KRAS_HUMAN_P01116 Homo sapiens,KRAS_OPOSSUM_Q07983 Monodelphis domestica,0.8800004628537511
KRAS_HUMAN_P01116 Homo sapiens,KRAS_TURKEY_P79800 Meleagris gallopavo,0.8866095675079897
KRAS_HUMAN_P01116 Homo sapiens,KRAS_CARP_Q9YH38 Cyprinus carpio,0.8848962924372019
KRAS_HUMAN_P01116 Homo sapiens,KRAS_MOLERAT_G5BQA1 Heterocephalus glaber,1.0
KRAS_HUMAN_P01116 Homo sapiens,KRAS_ZEBRAFISH_A0A2R8Q8S1 Danio rerio,0.9476928061501935
KRAS_MOUSE_P32883 Mus musculus,KRAS_RAT_P08644 Rattus norvegicus,1.0
KRAS_MOUSE_P32883 Mus musculus,KRAS_TURKEY_P79800 Meleagris gallopavo,0.8819306496268916
KRAS_MOUSE_P32883 Mus musculus,KRAS_CARP_Q9YH38 Cyprinus carpio,0.882265126012198
KRAS_MOUSE_P32883 Mus musculus,KRAS_MOLERAT_G5BQA1 Heterocephalus glaber,0.9953871117871156
KRAS_MOUSE_P32883 Mus musculus,KRAS_ZEBRAFISH_A0A2R8Q8S1 Danio rerio,0.9451001757094569
KRAS_RAT_P08644 Rattus norvegicus,KRAS_TURKEY_P79800 Meleagris gallopavo,0.8819306496268916
KRAS_RAT_P08644 Rattus norvegicus,KRAS_CARP_Q9YH38 Cyprinus carpio,0.882265126012198
KRAS_RAT_P08644 Rattus norvegicus,KRAS_MOLERAT_G5BQA1 Heterocephalus glaber,0.9953871117871156
KRAS_RAT_P08644 Rattus norvegicus,KRAS_ZEBRAFISH_A0A2R8Q8S1 Danio rerio,0.9451001757094569
KRAS_OPOSSUM_Q07983 Monodelphis domestica,KRAS_TURKEY_P79800 Meleagris gallopavo,0.9881870846285252
KRAS_OPOSSUM_Q07983 Monodelphis domestica,KRAS_XENOPUS_Q05147 Xenopus laevis,0.9488586234690602
KRAS_OPOSSUM_Q07983 Monodelphis domestica,KRAS_CARP_Q9YH38 Cyprinus carpio,0.9814835591724628
KRAS_OPOSSUM_Q07983 Monodelphis domestica,KRAS_KILLIFISH_Q5EFX7 Kryptolebias marmoratus,0.9722242803123452
KRAS_OPOSSUM_Q07983 Monodelphis domestica,KRAS_MOLERAT_G5BQA1 Heterocephalus glaber,0.8800004628537511
KRAS_TURKEY_P79800 Meleagris gallopavo,KRAS_XENOPUS_Q05147 Xenopus laevis,0.9534826768931877
KRAS_TURKEY_P79800 Meleagris gallopavo,KRAS_CARP_Q9YH38 Cyprinus carpio,0.9861051383566402
KRAS_TURKEY_P79800 Meleagris gallopavo,KRAS_KILLIFISH_Q5EFX7 Kryptolebias marmoratus,0.9768411026100746
KRAS_TURKEY_P79800 Meleagris gallopavo,KRAS_MOLERAT_G5BQA1 Heterocephalus glaber,0.8866095675079897
KRAS_XENOPUS_Q05147 Xenopus laevis,KRAS_CARP_Q9YH38 Cyprinus carpio,0.9477057881405823
KRAS_XENOPUS_Q05147 Xenopus laevis,KRAS_KILLIFISH_Q5EFX7 Kryptolebias marmoratus,0.937348347833035
KRAS_CARP_Q9YH38 Cyprinus carpio,KRAS_KILLIFISH_Q5EFX7 Kryptolebias marmoratus,0.9814432989690721
KRAS_CARP_Q9YH38 Cyprinus carpio,KRAS_MOLERAT_G5BQA1 Heterocephalus glaber,0.8848962924372019
KRAS_MOLERAT_G5BQA1 Heterocephalus glaber,KRAS_ZEBRAFISH_A0A2R8Q8S1 Danio rerio,0.9476928061501935
