entry_id,title,method,resolution,chain_id,chain_length,sample_index,design_score,design_score_std,global_score,global_score_std,original_design_score,original_global_score,seq_recovery,score_runs
7VVB,Crystal Structure of KRas4A(GMPPNP-bound) in complex with the Ras-binding domain(RBD) of SIN1,X-RAY DIFFRACTION,,A,167,1,0.9404684084653855,0.013392560276070642,0.9404684084653855,0.013392560276070642,0.8582,0.8582,0.479,100
7VVB,Crystal Structure of KRas4A(GMPPNP-bound) in complex with the Ras-binding domain(RBD) of SIN1,X-RAY DIFFRACTION,,A,167,2,0.8905168902873993,0.014492530049592518,0.8905168902873993,0.014492530049592518,0.8316,0.8316,0.4311,100
8T71,Crystal Structure of WT KRAS4a with bound GDP and Mg ion,X-RAY DIFFRACTION,,A,171,1,0.954072100520134,0.014525680691164378,0.954072100520134,0.014525680691164378,0.8817,0.8817,0.4211,100
8T71,Crystal Structure of WT KRAS4a with bound GDP and Mg ion,X-RAY DIFFRACTION,,A,171,2,0.9155357134342194,0.014462267540254103,0.9155357134342194,0.014462267540254103,0.8528,0.8528,0.4152,100
8T74,Crystal structure of KRAS4a (GMPPNP) in complex with RAF1 (RBD),X-RAY DIFFRACTION,,A,170,1,0.8854166758060455,0.015700162705769762,0.8854166758060455,0.015700162705769762,0.8179,0.8179,0.4471,100
8T74,Crystal structure of KRAS4a (GMPPNP) in complex with RAF1 (RBD),X-RAY DIFFRACTION,,A,170,2,0.9162797409296036,0.01521614728770497,0.9162797409296036,0.01521614728770497,0.8448,0.8448,0.4412,100
8T75,Crystal Structure of KRAS4a (GMPPNP) in complex with RAF1 (RBD-CRD),X-RAY DIFFRACTION,,A,170,1,0.9387092769145966,0.014845499529504858,0.9387092769145966,0.014845499529504858,0.8517,0.8517,0.4294,100
8T75,Crystal Structure of KRAS4a (GMPPNP) in complex with RAF1 (RBD-CRD),X-RAY DIFFRACTION,,A,170,2,0.9311997550725937,0.014765551771609334,0.9311997550725937,0.014765551771609334,0.8802,0.8802,0.4235,100
8JHL,GDP-bound KRAS G12D in complex with YK-8S,X-RAY DIFFRACTION,,A,169,1,0.9283878487348557,0.01662753928957737,0.9283878487348557,0.01662753928957737,0.8664,0.8664,0.4497,100
8JHL,GDP-bound KRAS G12D in complex with YK-8S,X-RAY DIFFRACTION,,A,169,2,0.9149014991521836,0.016812819478317666,0.9149014991521836,0.016812819478317666,0.8339,0.8339,0.4734,100
8T73,Crystal structure of KRAS4a-R151G with bound GDP and Mg ion,X-RAY DIFFRACTION,,A,168,1,0.8691601836681366,0.018062224660315696,0.8691601836681366,0.018062224660315696,0.7809,0.7809,0.5119,100
8T73,Crystal structure of KRAS4a-R151G with bound GDP and Mg ion,X-RAY DIFFRACTION,,A,168,2,0.8353483492136001,0.014612005933399527,0.8353483492136001,0.014612005933399527,0.7703,0.7703,0.5357,100
8JGD,GDP-bound KRAS G12C in complex with YK-8S,X-RAY DIFFRACTION,,A,169,1,0.9136571276187897,0.014721237366880163,0.9136571276187897,0.014721237366880163,0.852,0.852,0.4556,100
8JGD,GDP-bound KRAS G12C in complex with YK-8S,X-RAY DIFFRACTION,,A,169,2,0.9163721108436584,0.015615888593049354,0.9163721108436584,0.015615888593049354,0.8337,0.8337,0.4675,100
8BLR,G13D mutant of KRAS4b (2-169) bound to GDP with the switch-I in fully open conformation,X-RAY DIFFRACTION,,A,168,1,0.9692544209957122,0.013913936316707638,0.9692544209957122,0.013913936316707638,0.8714,0.8714,0.4643,100
8BLR,G13D mutant of KRAS4b (2-169) bound to GDP with the switch-I in fully open conformation,X-RAY DIFFRACTION,,A,168,2,0.9607036763429642,0.01628917840710906,0.9607036763429642,0.01628917840710906,0.8609,0.8609,0.4167,100
8CPR,G13D mutant of KRAS4b (2-169) bound to GDP with the switch-I in fully open conformation crystallized in sodium potassium phosphate buffer,X-RAY DIFFRACTION,,A,168,1,0.9181646037101746,0.01526933211673228,0.9181646037101746,0.01526933211673228,0.8353,0.8353,0.4464,100
8CPR,G13D mutant of KRAS4b (2-169) bound to GDP with the switch-I in fully open conformation crystallized in sodium potassium phosphate buffer,X-RAY DIFFRACTION,,A,168,2,0.9133747053146363,0.012931833863776594,0.9133747053146363,0.012931833863776594,0.849,0.849,0.4345,100
4LPK,"Crystal Structure of K-Ras WT, GDP-bound",X-RAY DIFFRACTION,,B,166,1,0.8203880524635315,0.01426411845501663,0.8203880524635315,0.01426411845501663,0.7481,0.7481,0.5,100
4LPK,"Crystal Structure of K-Ras WT, GDP-bound",X-RAY DIFFRACTION,,B,166,2,0.8427166610956192,0.013810840297747649,0.8427166610956192,0.013810840297747649,0.8062,0.8062,0.5361,100
