node,component,degree,weighted_degree
KRAS_HUMAN_P01116 Homo sapiens,1,7,6.5899733525233675
KRAS_MOUSE_P32883 Mus musculus,1,6,5.700070174922778
KRAS_RAT_P08644 Rattus norvegicus,1,6,5.700070174922778
KRAS_OPOSSUM_Q07983 Monodelphis domestica,1,6,5.650754473289895
KRAS_TURKEY_P79800 Meleagris gallopavo,1,8,7.44169643675819
KRAS_XENOPUS_Q05147 Xenopus laevis,1,4,3.7873954363358653
KRAS_CARP_Q9YH38 Cyprinus carpio,1,8,7.431060621537557
KRAS_KILLIFISH_Q5EFX7 Kryptolebias marmoratus,1,4,3.8678570297245267
KRAS_MOLERAT_G5BQA1 Heterocephalus glaber,1,7,6.5899733525233675
KRAS_ZEBRAFISH_A0A2R8Q8S1 Danio rerio,1,4,3.785585963719301
