source,target,similarity
7VVB_A_native,8T71_A_native,0.9581637616629638
7VVB_A_native,8T74_A_native,0.9609239177947919
7VVB_A_native,8T75_A_native,0.9609239177947919
7VVB_A_native,8JHL_A_native,0.9561808799752898
7VVB_A_native,8T73_A_native,0.9589621008744229
7VVB_A_native,8T73_A_sample_1,0.5026774260890201
7VVB_A_native,8T73_A_sample_2,0.5236578118574157
7VVB_A_native,8JGD_A_native,0.9522355595026196
7VVB_A_native,8BLR_A_native,0.9525751759581533
7VVB_A_native,8CPR_A_native,0.9525751759581533
7VVB_A_native,4LPK_B_native,0.961115792322015
7VVB_A_native,4LPK_B_sample_2,0.5384668019225096
7VVB_A_sample_1,7VVB_A_sample_2,0.7455431307901241
7VVB_A_sample_1,8T74_A_sample_1,0.5718531348935464
7VVB_A_sample_1,8T74_A_sample_2,0.5666372082851233
7VVB_A_sample_1,8T75_A_sample_1,0.5560831839821136
7VVB_A_sample_1,8T75_A_sample_2,0.547338811216912
7VVB_A_sample_1,8T73_A_sample_1,0.5204748691059911
7VVB_A_sample_1,8T73_A_sample_2,0.515657095267309
7VVB_A_sample_1,4LPK_B_sample_1,0.5014933399834273
7VVB_A_sample_1,4LPK_B_sample_2,0.5185318415360319
7VVB_A_sample_2,8T74_A_sample_1,0.5410718119841296
7VVB_A_sample_2,8T74_A_sample_2,0.5656221992816647
7VVB_A_sample_2,8T75_A_sample_1,0.505057318279834
7VVB_A_sample_2,8T75_A_sample_2,0.5118681584978201
7VVB_A_sample_2,8T73_A_sample_1,0.5419401848679962
7VVB_A_sample_2,4LPK_B_sample_1,0.5337321993483888
8T71_A_native,8T74_A_native,0.9863351330068143
8T71_A_native,8T75_A_native,0.9863351330068143
8T71_A_native,8JHL_A_native,0.9748843797109504
8T71_A_native,8T73_A_native,0.970833977424958
8T71_A_native,8T73_A_sample_1,0.515805048215953
8T71_A_native,8T73_A_sample_2,0.5364968564729411
8T71_A_native,8JGD_A_native,0.9709292838971866
8T71_A_native,8BLR_A_native,0.9605119775283574
8T71_A_native,8CPR_A_native,0.9605119775283574
8T71_A_native,4LPK_B_native,0.9494880115850665
8T71_A_native,4LPK_B_sample_2,0.5402566578189384
8T71_A_sample_1,8T71_A_sample_2,0.7149771776379392
8T71_A_sample_1,8T74_A_sample_2,0.5139947416456373
8T71_A_sample_1,8T75_A_sample_1,0.5243799520695263
8T71_A_sample_1,8T75_A_sample_2,0.5345263229256524
8T71_A_sample_1,8JHL_A_sample_2,0.5114970325017781
8T71_A_sample_1,8T73_A_sample_1,0.6147093845289301
8T71_A_sample_1,8T73_A_sample_2,0.5814528211928495
8T71_A_sample_1,8JGD_A_sample_2,0.5267020943183696
8T71_A_sample_1,8CPR_A_sample_1,0.5392571128557522
8T71_A_sample_1,4LPK_B_sample_1,0.5651096204370856
8T71_A_sample_1,4LPK_B_sample_2,0.5561795256699605
8T71_A_sample_2,8T74_A_sample_1,0.5384675715341966
8T71_A_sample_2,8T74_A_sample_2,0.5135149316712923
8T71_A_sample_2,8T75_A_sample_1,0.5535233706328797
8T71_A_sample_2,8T75_A_sample_2,0.5660381294210061
8T71_A_sample_2,8JHL_A_sample_1,0.5847259006113522
8T71_A_sample_2,8JHL_A_sample_2,0.5583264582768785
8T71_A_sample_2,8T73_A_sample_1,0.5854574112463151
8T71_A_sample_2,8T73_A_sample_2,0.5744556615991804
8T71_A_sample_2,8JGD_A_sample_1,0.5310910212877624
8T71_A_sample_2,8JGD_A_sample_2,0.544138771119044
8T71_A_sample_2,8CPR_A_sample_1,0.5714301644695313
8T71_A_sample_2,8CPR_A_sample_2,0.5192495269446685
8T71_A_sample_2,4LPK_B_sample_1,0.5175228209561196
8T71_A_sample_2,4LPK_B_sample_2,0.5262206810505223
8T74_A_native,8T75_A_native,1.0
8T74_A_native,8JHL_A_native,0.9776800202834527
8T74_A_native,8T73_A_native,0.9736216999599685
8T74_A_native,8T73_A_sample_1,0.5187279026330011
8T74_A_native,8T73_A_sample_2,0.5394586601255199
8T74_A_native,8JGD_A_native,0.9737149216099523
8T74_A_native,8BLR_A_native,0.9632764918523362
8T74_A_native,8CPR_A_native,0.9632764918523362
8T74_A_native,4LPK_B_native,0.9533815074329319
8T74_A_native,4LPK_B_sample_2,0.536214474914339
8T74_A_sample_1,8T74_A_sample_2,0.7343749784508522
8T74_A_sample_1,8T75_A_sample_1,0.6131908390802036
8T74_A_sample_1,8T75_A_sample_2,0.5864965960488009
8T74_A_sample_1,8JHL_A_sample_1,0.5404765734670953
8T74_A_sample_1,8JHL_A_sample_2,0.5568115202969341
8T74_A_sample_1,8T73_A_sample_1,0.5733809687135625
8T74_A_sample_1,8T73_A_sample_2,0.5068078878176899
8T74_A_sample_1,8JGD_A_sample_1,0.519928705918291
8T74_A_sample_1,8JGD_A_sample_2,0.5509124264788042
8T74_A_sample_1,4LPK_B_sample_1,0.5456195986529813
8T74_A_sample_1,4LPK_B_sample_2,0.5424738172537207
8T74_A_sample_2,8T75_A_sample_1,0.6088623790470976
8T74_A_sample_2,8T75_A_sample_2,0.6164744278803663
8T74_A_sample_2,8JHL_A_sample_1,0.5071095579766649
8T74_A_sample_2,8JHL_A_sample_2,0.5446114487421688
8T74_A_sample_2,8T73_A_sample_1,0.5398343767714092
8T74_A_sample_2,8JGD_A_sample_2,0.529185858691738
8T74_A_sample_2,4LPK_B_sample_2,0.515483420988592
8T75_A_native,8JHL_A_native,0.9776800202834527
8T75_A_native,8T73_A_native,0.9736216999599685
8T75_A_native,8T73_A_sample_1,0.5187279026330011
8T75_A_native,8T73_A_sample_2,0.5394586601255199
8T75_A_native,8JGD_A_native,0.9737149216099523
8T75_A_native,8BLR_A_native,0.9632764918523362
8T75_A_native,8CPR_A_native,0.9632764918523362
8T75_A_native,4LPK_B_native,0.9533815074329319
8T75_A_native,4LPK_B_sample_2,0.536214474914339
8T75_A_sample_1,8T75_A_sample_2,0.7803468177773406
8T75_A_sample_1,8JHL_A_sample_1,0.5591918482721365
8T75_A_sample_1,8JHL_A_sample_2,0.5267542368269634
8T75_A_sample_1,8T73_A_sample_1,0.5564133016627079
8T75_A_sample_1,8T73_A_sample_2,0.5183273066993451
8T75_A_sample_1,8JGD_A_sample_1,0.5285378290509825
8T75_A_sample_1,8JGD_A_sample_2,0.518268227680888
8T75_A_sample_1,4LPK_B_sample_1,0.5131141264729275
8T75_A_sample_1,4LPK_B_sample_2,0.5409561043520696
8T75_A_sample_2,8JHL_A_sample_1,0.5492351271946482
8T75_A_sample_2,8JHL_A_sample_2,0.5690623974079648
8T75_A_sample_2,8T73_A_sample_1,0.5275333950224662
8T75_A_sample_2,8JGD_A_sample_1,0.533495997569967
8T75_A_sample_2,8JGD_A_sample_2,0.5453775161145781
8T75_A_sample_2,8CPR_A_sample_2,0.5240116242798343
8T75_A_sample_2,4LPK_B_sample_2,0.5202858694743765
8JHL_A_native,8T73_A_native,0.9689323705372858
8JHL_A_native,8T73_A_sample_1,0.5184630935488832
8JHL_A_native,8T73_A_sample_2,0.5380993292074143
8JHL_A_native,8JGD_A_native,0.987967076084803
8JHL_A_native,8BLR_A_native,0.9694916389073963
8JHL_A_native,8CPR_A_native,0.9694916389073963
8JHL_A_native,4LPK_B_native,0.9474483619312204
8JHL_A_native,4LPK_B_sample_2,0.535988230411677
8JHL_A_sample_1,8JHL_A_sample_2,0.6730197739266357
8JHL_A_sample_1,8T73_A_sample_1,0.544914609592848
8JHL_A_sample_1,8T73_A_sample_2,0.5589224516406971
8JHL_A_sample_1,8JGD_A_sample_1,0.7754617218163536
8JHL_A_sample_1,8JGD_A_sample_2,0.6450955261208804
8JHL_A_sample_1,8BLR_A_sample_1,0.5068761429696629
8JHL_A_sample_1,4LPK_B_sample_1,0.537314294646029
8JHL_A_sample_1,4LPK_B_sample_2,0.5556949988676475
8JHL_A_sample_2,8T73_A_sample_1,0.6159338480279166
8JHL_A_sample_2,8T73_A_sample_2,0.6011939567805616
8JHL_A_sample_2,8JGD_A_sample_1,0.6285714285714286
8JHL_A_sample_2,8JGD_A_sample_2,0.8268603795056804
8JHL_A_sample_2,8CPR_A_sample_1,0.5258183387169748
8JHL_A_sample_2,8CPR_A_sample_2,0.5214285714285715
8JHL_A_sample_2,4LPK_B_sample_1,0.5680207108113979
8JHL_A_sample_2,4LPK_B_sample_2,0.5733177113063316
8T73_A_native,8T73_A_sample_1,0.5313617130455587
8T73_A_native,8T73_A_sample_2,0.5521528651422867
8T73_A_native,8JGD_A_native,0.9649704649502734
8T73_A_native,8BLR_A_native,0.9544144693392059
8T73_A_native,8CPR_A_native,0.9544144693392059
8T73_A_native,4LPK_B_native,0.9675817756846189
8T73_A_native,4LPK_B_sample_1,0.5115351386740362
8T73_A_native,4LPK_B_sample_2,0.5531278630102127
8T73_A_sample_1,8T73_A_sample_2,0.8085196756724107
8T73_A_sample_1,8JGD_A_native,0.5152411101285496
8T73_A_sample_1,8JGD_A_sample_1,0.5457792205498334
8T73_A_sample_1,8JGD_A_sample_2,0.5685390488416208
8T73_A_sample_1,8CPR_A_sample_1,0.5263790184318436
8T73_A_sample_1,4LPK_B_native,0.5270565028013833
8T73_A_sample_1,4LPK_B_sample_1,0.7145456883171198
8T73_A_sample_1,4LPK_B_sample_2,0.716692120572521
8T73_A_sample_2,8JGD_A_native,0.5360148186876359
8T73_A_sample_2,8JGD_A_sample_1,0.5420213232391677
8T73_A_sample_2,8JGD_A_sample_2,0.5467967913230712
8T73_A_sample_2,8BLR_A_native,0.5163394613454221
8T73_A_sample_2,8CPR_A_native,0.5163394613454221
8T73_A_sample_2,8CPR_A_sample_1,0.5321557076464063
8T73_A_sample_2,4LPK_B_native,0.5479625862191988
8T73_A_sample_2,4LPK_B_sample_1,0.723037976182031
